adsh,Risk Factors,Label 1,Label 1 - details,Label 2,Label 2 - details
0001611547-23-000008,Our business and operations would suffer in the event of system failures.,operational risk,information system,,
0001611547-23-000008,We face risks associated with security and cyber security breaches.,operational risk,information system,,
0001611547-23-000008,RISKS RELATED TO ENVIRONMENTAL LIABILITY AND REGULATORY COMPLIANCE ,legal and regulatory risk,,,
0001611547-23-000008,"We may be adversely affected by laws, regulations or other issues related to climate change.",legal and regulatory risk,regulation restriction,,
0001611547-23-000008,We may incur significant costs to comply with environmental laws and environmental contamination may impair our ability to lease and/or sell real estate.,legal and regulatory risk,regulation restriction,,
0001611547-23-000008,"Increased scrutiny and changing expectations from investors, customers, employees, and others regarding our environmental, social and governance practices and reporting could cause us to incur additional costs, devote additional resources and expose us to additional risks, which could adversely impact our reputation, customer acquisition and retention, access to capital and employee retention.",legal and regulatory risk,regulation restriction,,
0001611547-23-000008,"Compliance or failure to comply with the Americans with Disabilities Act, safety regulations or other requirements could result in substantial costs.",legal and regulatory risk,regulation restriction,,
0001611547-23-000008,RISKS RELATED TO OUR STATUS AS A REIT,tax risk,,,
0001611547-23-000008,We may fail to qualify or remain qualified as a REIT and may be required to pay income taxes at corporate rates.,tax risk,REIT qualification,,
0001611547-23-000008,REIT distribution requirements could adversely affect our liquidity and our ability to execute our business plan.,liquidity risk,REIT distribution,,
0001611547-23-000008,Risks related to Section 1031 Exchanges.,tax risk,1031 exchanges,,
0001611547-23-000008,We face possible adverse changes in tax law.,legal and regulatory risk,tax laws changes,,
0001611547-23-000008,RISKS RELATED TO OUR ORGANIZATION AND STRUCTURE ,operational risk,,,
0001611547-23-000008,Our Declaration of Trust sets limits on the ownership of our shares.,operational risk,internal control,,
0001611547-23-000008,Our Declaration of Trust limits the removal of members of the Board of Trustees. ,operational risk,internal control,,
0001611547-23-000008,Maryland law contains provisions that may reduce the likelihood of certain takeover transactions.,legal and regulatory risk,takeover regulation,,
0001611547-23-000008,We may issue additional shares in a manner that could adversely affect the likelihood of certain takeover transactions.,market risk,additional shares,,
0001611547-23-000008,RISKS RELATED TO AN INVESTMENT IN OUR COMMON SHARES ,market risk,,,
0001611547-23-000008,The market prices and trading volume of our equity securities may be volatile.,market risk,stock price fluctuation,,
0001611547-23-000008,"We cannot guarantee the timing, amount, or payment of dividends on our common shares.",liquidity risk,dividened payment,,
0001611547-23-000008,Your percentage of ownership in our Company may be diluted in the future.,business risk,ownership dilution,,
0001611547-23-000008,Inflation and related volatility in the economy could negatively impact the value of our publicly-traded equity securities.,market risk,inflation and volatility,,
0001456772-23-000012,Risks Related to Our Business ,business risk,,,
0001456772-23-000012,We may be unable to lease our properties when our leases expire.,operational risk,renew lease,,
0001456772-23-000012,"We may experience declining rents or incur significant costs to renew our leases with current tenants or lease our properties to new tenants, and any rent increases that we do achieve may not exceed increased costs we may incur.",operational risk,renew lease,,
0001456772-23-000012,"Unfavorable market, economic and commercial real estate conditions may have a material adverse effect on our results of operations, financial condition and ability to pay distributions to our shareholders.",market risk,economic,,
0001456772-23-000012,"Our business depends upon our tenants satisfying their lease obligations to us, which, with respect to our private sector tenants, depends, to a large degree, on those tenants' abilities to successfully operate their businesses, and, with respect to our government tenants, depends on discretionary funding from federal, state and local governments.",credit risk,tenant's credit,,
0001456772-23-000012,Remote and other alternative work arrangements and changes in space utilization and other business practices may reduce the demand for office leasing.,business risk,,,
0001456772-23-000012,"Some of our properties depend upon a private sector single or majority tenant for all or a significant portion of their rental income; therefore, our financial condition, including our ability to pay distributions to our shareholders, may be adversely affected by bankruptcy or insolvency, a downturn in the business, or a lease termination of such a single or majority tenant.",credit risk,tenant's credit,,
0001456772-23-000012,"We currently have a concentration of properties in the metropolitan Washington, D.C. market area and are exposed to changes in market conditions in this area.",strategy risk,geographic concentration,Market risk,
0001456772-23-000012,"Government budgetary pressures and priorities and trends in government employment and office leasing, including remote working and other space utilization trends, may adversely impact our business.",operational risk,government budgeting,,
0001456772-23-000012,"A prolonged U.S. government shutdown may adversely impact our operations, financial results and liquidity.",operational risk,government shutdown,,
0001456772-23-000012,Our capital recycling program may not be successful.,operational risk,capital recycling,,
0001456772-23-000012,"We are exposed to risks associated with property development, redevelopment and repositioning that could adversely affect us, including our financial condition and results of operations.",operational risk,development,,
0001456772-23-000012,"We may be unable to grow our business by acquiring additional properties, and we might encounter unanticipated difficulties and expenditures relating to our acquired properties.",operational risk,acquired properties,,
0001456772-23-000012,REIT distribution requirements and limitations on our ability to access capital at reasonable costs or at all may adversely impact our ability to carry out our business plan.,tax risk,REIT distribution,Liquidity risk,capital availability
0001456772-23-000012,We face significant competition.,competition risk,,,
0001456772-23-000012,Some tenants have the right to terminate their leases prior to their lease expiration date.,operational risk,lease termination,,
0001456772-23-000012,We have debt and we may incur additional debt.,credit risk,debt,,
0001456772-23-000012,"We may fail to comply with the terms of our debt agreements, which could adversely affect our business and prohibit us from paying distributions to our shareholders.",credit risk,debt,,
0001456772-23-000012,Increases in market interest rates have significantly increased our interest expense and may otherwise materially and negatively affect us.,market risk,interest rate fluctuation,,
0001456772-23-000012,A further downgrade in our credit ratings may increase our cost of capital and could otherwise materially adversely affect our business and financial condition.,credit risk,rating downgrade,,
0001456772-23-000012,Ownership of real estate is subject to environmental risks and liabilities.,operational risk,catastrophe,,
0001456772-23-000012,"We are subject to risks from adverse weather, natural disasters and climate change and climate related events, and we incur significant costs and invest significant amounts with respect to these matters.",operational risk,catastrophe,,
0001456772-23-000012,"RMR relies on information technology and systems in providing services to us, and any material failure, inadequacy, interruption or security breach of that technology or those systems could materially harm us.",operational risk,information system,,
0001456772-23-000012,"ESG initiatives, requirements and market expectations may impose additional costs and expose us to new risks.",legal and regulatory risk,ESG,,
0001456772-23-000012,"Insurance may not adequately cover our losses, and insurance costs may continue to increase.",operational risk,insurance,,
0001456772-23-000012,Risks Related to Our Relationships with RMR,operational risk,,,
0001456772-23-000012,We are dependent upon RMR to manage our business and implement our growth strategy.,operational risk,management dependency,,
0001456772-23-000012,RMR has broad discretion in operating our day to day business.,operational risk,management discretion,,
0001456772-23-000012,"Our management structure and agreements and relationships with RMR and RMR's and its controlling shareholder's relationships with others may create conflicts of interest, or the perception of such conflicts, and may restrict our investment activities.",other risk,Interest Conflict,,
0001456772-23-000012,"Our management agreements with RMR were not negotiated on an arm's length basis and their fee and expense structure may not create proper incentives for RMR, which may increase the risk of an investment in our common shares.",strategy risk,investment,Operational risk,
0001456772-23-000012,"The termination of our management agreements with RMR may require us to pay a substantial termination fee, including in the case of a termination for unsatisfactory performance, which may limit our ability to end our relationship with RMR.",operational risk,additional costs,,
0001456772-23-000012,Our management arrangements with RMR may discourage a change of control of us.,operational risk,internal control,,
0001456772-23-000012,We are party to transactions with related parties that may increase the risk of allegations of conflicts of interest.,other risk,interest conflict,,
0001456772-23-000012,We may be at an increased risk for dissident shareholder activities due to perceived conflicts of interest arising from our management structure and relationships.,other risk,interest conflict,,
0001456772-23-000012,Risks Related to Our Organization and Structure,operational risk,,,
0001456772-23-000012,"Ownership limitations and certain provisions in our declaration of trust, bylaws and agreements, as well as certain provisions of Maryland law, may deter, delay or prevent a change in our control or unsolicited acquisition proposals.",legal and regulatory risk,regulation restriction,,
0001456772-23-000012,Our rights and the rights of our shareholders to take action against our Trustees and officers are limited.,legal and regulatory risk,regulation restriction,,
0001456772-23-000012,"Shareholder litigation against us or our Trustees, officers, manager or other agents may be referred to mandatory arbitration proceedings, which follow different procedures than in-court litigation and may be more restrictive to shareholders asserting claims than in-court litigation.",legal and regulatory risk,litigation,,
0001456772-23-000012,"Our bylaws designate the Circuit Court for Baltimore City, Maryland as the sole and exclusive forum for certain actions and proceedings that may be initiated by our shareholders, which could limit our shareholders ability to obtain a favorable judicial forum for disputes with us or our Trustees, officers, manager or other agents.",legal and regulatory risk,regulation restriction,,
0001456772-23-000012,"We may change our operational, financing and investment policies without shareholder approval and we may become more highly leveraged, which may increase our risk of default under our debt obligations.",operational risk,Internal control,Strategy risk,
0001456772-23-000012,Risks Related to Our Taxation,tax risk,,,
0001456772-23-000012,Our failure to remain qualified for taxation as a REIT under the IRC could have significant adverse consequences.,tax risk,REIT qualification,,
0001456772-23-000012,"Distributions to shareholders generally will not qualify for reduced tax rates applicable to ""qualified dividends.""",tax risk,distribution tax rates,,
0001456772-23-000012,REIT distribution requirements could adversely affect us and our shareholders.,liquidity risk,REIT distribution,,
0001456772-23-000012,"Even if we remain qualified for taxation as a REIT under the IRC, we may face other tax liabilities that reduce our cash flow.",tax risk,other tax liabilities,,
0001456772-23-000012,Legislative or other actions affecting REITs could materially and adversely affect us and our shareholders.,legal and regulatory risk,regulation restriction,,
0001456772-23-000012,Risks Related to Our Securities ,operational risk,,,
0001456772-23-000012,Our distributions to our shareholders may be reduced or eliminated and the form of payment could change.,operational risk,dividened payment,,
0001456772-23-000012,The Notes are structurally subordinated to the payment of all indebtedness and other liabilities.,credit risk,debt,,
0001456772-23-000012,"There may be no public market for certain of the Notes, and one may not develop, be maintained or be liquid.",market risk,market liquidity,,
0000025232-23-000003,General Risks of Owning and Operating Real Estate,operational risk,,,
0000025232-23-000003,"Our ownership of commercial real estate involves a number of risks, the effects of which could adversely affect our business.",business risk,,,
0000025232-23-000003,"Compliance or failure to comply with the Americans with Disabilities Act or other federal, state, and local regulatory requirements could result in substantial costs.",legal and regulatory risk,compliance,,
0000025232-23-000003,Financing Risks,market risk,,,
0000025232-23-000003,"At certain times, interest rates and other market conditions for obtaining capital could be unfavorable, and, as a result, we may be unable to raise the capital needed to invest in acquisition or development opportunities, maintain our properties, or otherwise satisfy our commitments on a timely basis, or we may be forced to raise capital at a higher cost or under restrictive terms, which could adversely affect returns on our investments, our cash flows, and results of operations.",market risk,interest rate fluctuation,,
0000025232-23-000003,Any additional indebtedness incurred may have a material adverse effect on our financial condition and results of operations. ,credit risk,debt,,
0000025232-23-000003,"Covenants contained in our Credit Facility, senior unsecured notes, term loans, and mortgages could restrict our operational flexibility, which could adversely affect our results of operations.",credit risk,debt covenants,,
0000025232-23-000003,Our degree of leverage could limit our ability to obtain additional financing or affect the market price of our securities.,liquidity risk,leverage,,
0000025232-23-000003,Planned discontinuation of LIBOR could have an adverse impact on operations.,market risk,LIBOR,,
0000025232-23-000003,Real Estate Acquisition and Development Risks,strategy risk,acuqisition,,
0000025232-23-000003,We face risks associated with operating property acquisitions. ,strategy risk,acquisition,,
0000025232-23-000003,We face risks associated with the development of real estate.,strategy risk,development,,
0000025232-23-000003,Federal Income Tax Risks,tax risk,,,
0000025232-23-000003,Any failure to continue to qualify as a REIT for federal income tax purposes could have a material adverse impact on us and our stockholders.,tax risk,REIT qualification,,
0000025232-23-000003,Certain property transfers may be characterized as prohibited transactions.,tax risk,REIT,,
0000025232-23-000003,"Recent changes to the U.S. tax laws could have an adverse impact on our business operations, financial condition, and earnings.",legal and regulatory risk,tax laws changes,,
0000025232-23-000003,We may face risks in connection with Section 1031 Exchanges. ,tax risk,1031 exchanges,,
0000025232-23-000003,Disclosure Controls and Internal Control over Financial Reporting Risks,operational risk,internal control,,
0000025232-23-000003,Our business could be adversely impacted if we have deficiencies in our disclosure controls and procedures or internal control over financial reporting.,operational risk,internal control,,
0000025232-23-000003,General Risks,other risk,,,
0000025232-23-000003,"A pandemic, epidemic or outbreak of a contagious disease could adversely affect us.",operational risk,catastrophe,,
0000025232-23-000003,"We are dependent upon the services of certain key personnel, including members of the Board of Directors, the loss of any of whom could adversely impact our ability to execute our business.",operational risk,personnel resource,,
0000025232-23-000003,We may change our policies without obtaining the approval of our stockholders.,operational risk,internal control,,
0000025232-23-000003,Employee misconduct or misconduct by members of the Board of Directors could adversely impact our ability to execute our business.,operational risk,internal control,,
0000025232-23-000003,"Our restated and amended articles of incorporation contain limitations on ownership of our stock, which may prevent a change in control that might otherwise be in the best interest of our stockholders.",operational risk,internal control,,
0000025232-23-000003,The market price of our common stock may fluctuate.,market risk,stock price fluctuation,,
0000025232-23-000003,"If our future operating performance does not meet the projections of our analysts or investors, our stock price could decline.",market risk,stock price fluctuation,,
0000025232-23-000003,"We face risks associated with security breaches through cyber attacks or cyber intrusions, as well as other significant disruptions of our information technology (IT) networks and related systems. ",operational risk,information system,,
0000025232-23-000003,"Public attention to environmental, social, and governance matters.",legal and regulatory risk,ESG,,
0000726728-23-000044,Risks Related to Our Business and Industry,business risk,,,
0000726728-23-000044,In order to grow we need to continue to acquire investment properties. The acquisition of investment properties may be subject to competitive pressures.,strategy risk,acquisition,,
0000726728-23-000044,"Negative market conditions or adverse events affecting our existing or potential clients, or the industries in which they operate, could have an adverse impact on our ability to attract new clients, re-lease space, collect rent or renew leases, which could adversely affect our cash flow from operations and inhibit growth.",market risk,,,
0000726728-23-000044,"The COVID-19 pandemic has disrupted our operations and the effects of the pandemic are expected to continue to have an adverse effect on our business, results of operations, financial condition and liquidity.",operational risk,catastrophe,,
0000726728-23-000044,"As a property owner, we may be subject to unknown environmental liabilities.",legal and regulatory risk,environmental liability,,
0000726728-23-000044,"If we fail to qualify as a REIT, it could adversely impact us, and the amount of dividends we are able to pay would decrease, which could adversely affect the market price of our capital stock and could adversely affect the value of our debt securities.",tax risk,REIT qualification,,
0000726728-23-000044,Legislative or other actions affecting REITs could have a negative effect on us or our investors.,legal and regulatory risk,legislative,,
0000726728-23-000044,Distribution requirements imposed by law limit our flexibility.,legal and regulatory risk,law,,
0000726728-23-000044,Future issuances of equity securities could dilute the interest of holders of our common stock.,business risk,ownership dilution,,
0000726728-23-000044,"We may acquire properties or portfolios of properties through tax deferred contribution transactions, which could result in stockholder dilution and limit our ability to sell or refinance such assets.",strategy risk,tax deferred transactions,,
0000726728-23-000044,We are subject to risks associated with debt and preferred stock financing.,credit risk,debt,,
0000726728-23-000044,Real estate ownership is subject to particular conditions that may have a negative impact on our revenue.,business risk,specific business,,
0000726728-23-000044,Real estate property investments are illiquid. We may not be able to acquire or dispose of properties when desired or on favorable terms.,liquidity risk,acquired properties,,
0000726728-23-000044,"Our acquisition of additional properties may have a significant effect on our business, liquidity, financial position and/or results of operations.",strategy risk,acquisition,,
0000726728-23-000044,We may face extensive regulations from gaming and other regulatory authorities regarding current and future gaming properties.,legal and regulatory risk,regulation restriction,,
0000726728-23-000044,We are subject to additional risks from our international investments and debt. ,market risk,international investment,,
0000726728-23-000044,"We may engage in development, speculative development, or expansion projects or invest in new assets, which would subject us to additional risks that could negatively impact our operations. ",strategy risk,development,,
0000726728-23-000044,An uninsured loss or a loss that exceeds the policy limits on our properties could subject us to lost capital or revenue on those properties.,operational risk,uninsured,,
0000726728-23-000044,"Compliance with the Americans with Disabilities Act of 1990 and fire, safety, and other regulations may require us to make unintended expenditures that could adversely impact our results of operations.",legal and regulatory risk,compliance,,
0000726728-23-000044,Property taxes may increase without notice.,tax risk,tax laws changes,,
0000726728-23-000044,Our business is subject to risks associated with climate change and our sustainability strategies.,other risk,climate change,Strategy risk,sustainability
0000726728-23-000044,Our charter contains restrictions upon ownership of our common stock.,legal and regulatory risk,stock ownership,,
0000726728-23-000044,"The value of certain of our investment in real property may be reduced as the result of the expiration or loss of local tax abatements, tax credit programs, or other governmental incentives.",strategy risk,investment,tax risk,
0000726728-23-000044,We may not be able to realize the anticipated synergies and related benefits of the merger with VEREIT and the transactions contemplated by the Merger Agreement. ,strategy risk,merger,,
0000726728-23-000044,General Risk Factors,other risk,,,
0000726728-23-000044,The market value of our capital stock and debt securities could be substantially affected by various factors.,market risk,stock price fluctuation,,
0000726728-23-000044,Litigation risks could affect our business.,legal and regulatory risk,litigation,,
0000726728-23-000044,We depend on key personnel.,operational risk,personnel resource,,
0000726728-23-000044,"Natural disasters, terrorist attacks, other acts of violence or war, or other unexpected events may affect the value of our debt and equity securities, the markets in which we operate and our results of operations.",operational risk,catastrophe,,
0000726728-23-000044,"We rely on information technology in our operations, and any material failure, inadequacy, interruption or security failure of that technology could harm our business.",operational risk,information system,,
0000726728-23-000044,Volatility in market and economic conditions may impact the accuracy of the various estimates used in the preparation of our financial statements and footnotes to the financial statements.,market risk,volatility,,
0000726728-23-000044,"Inherent limitations of internal controls over financial statements, disclosure controls and safeguarding of assets may adversely impact our financial condition and results of operations.",operational risk,internal control,,
0000726728-23-000044,Our business operations may not generate the cash needed to make distributions on our capital stock or to service our indebtedness.,operational risk,cash flow,,
0000726728-23-000044,"Disruptions in the financial markets could affect our ability to obtain financing on reasonable terms and have other adverse effects on us, the market price of our common stock, and may make it more difficult or costly for us to raise capital.",market risk,disruption,,
0000726728-23-000044,Inflation (including prolonged inflationary periods) may adversely affect our financial condition and results of operations.,market risk,inflation,,
0000826675-23-000023,RISKS RELATED TO OUR INVESTMENT ACTIVITIES,market risk,,,
0000826675-23-000023,"Declines in the market value of our investments could negatively impact our comprehensive income, shareholders' equity, book value per common share, dividends, and liquidity.",market risk,stock price fluctuation,,
0000826675-23-000023,"Interest rate fluctuations could negatively impact our net interest income, comprehensive income, book value per common share, dividends, and liquidity.",market risk,interest rate fluctuation,,
0000826675-23-000023,We invest in TBA securities and execute TBA dollar roll transactions. It could be uneconomical to roll our TBA contracts or we may be unable to meet margin calls on our TBA contracts.,strategy risk,TBA,,
0000826675-23-000023,"Volatile market conditions for mortgages and mortgage-related assets as well as the broader financial markets can result in a significant contraction in liquidity for mortgages and mortgage-related assets, which may adversely affect the value of the assets in which we invest.",market risk,cyclical fluctuation,,
0000826675-23-000023,"Changes in monetary policy implemented by the Federal Reserve, including its recent increases in the targeted Federal Funds Rate and its reduction of purchases of longer-term Treasury securities and fixed-rate Agency MBS have caused interest rates to rise and the yield curve to invert which has negatively impacted, and may continue to impact, the market value of our investments, borrowing costs, and our ability to earn net interest income. ",market risk,interest rate fluctuation,,
0000826675-23-000023,"We invest in MBS that are traded in over-the-counter (""OTC"") markets which are less liquid and have less price transparency than assets traded on securities exchanges. Owning securities that are traded in OTC markets may increase our liquidity risk, particularly in a volatile market environment, because our assets may be more difficult to borrow against or sell in a prompt manner and on terms acceptable to us which may result in losses upon sale of these assets.",liquidity risk,MBS,,
0000826675-23-000023,"Changes in prepayment rates on the mortgage loans underlying our investments may subject us to reinvestment risk and adversely affect our profitability, the market value of our investments, and our liquidity. ",market risk,,Liquidity risk,
0000826675-23-000023,"We may be subject to risks associated with inadequate or untimely services from third-party service providers, which may negatively impact our results of operations. We also rely on corporate trustees to act on behalf of us and other holders of securities in enforcing our rights.",business risk,service,Operational risk,
0000826675-23-000023,"Provisions requiring yield maintenance charges, prepayment penalties, defeasance, or lock-outs in CMBS IO securities may not be enforceable.",legal and regulatory risk,,,
0000826675-23-000023,"We invest in securities guaranteed by Fannie Mae and Freddie Mac which are currently under conservatorship by the Federal Housing Finance Agency (""FHFA""?). Potential changes to the federal conservatorship of Fannie Mae and Freddie Mac or to the laws and regulations affecting the support that the GSEs receive from the U.S. government may adversely affect our business.",legal and regulatory risk,laws and regulation changes,,
0000826675-23-000023,Credit ratings assigned to debt securities by the credit rating agencies may not accurately reflect the risks associated with those securities. Changes in credit ratings for securities we own or for similar securities might negatively impact the market value of these securities.,credit risk,rating downgrade,,
0000826675-23-000023,RISKS RELATED TO OUR FINANCING AND HEDGING ACTIVITIES,liquidity risk,,,
0000826675-23-000023,"Our use of leverage, primarily through repurchase agreements, to enhance shareholder returns increases the risk of volatility in our results and could lead to material decreases in comprehensive income, shareholders' equity, dividends, and liquidity.",liquidity risk,dividened payment,,
0000826675-23-000023,"Our repurchase agreements and agreements governing certain derivative instruments may contain financial and nonfinancial covenants. Our inability to meet these covenants could adversely affect our financial condition, results of operations, and cash flows.",liquidity risk,cash flow,Operational risk,
0000826675-23-000023,"Our use of hedging strategies to mitigate our interest rate risk may not be effective and may adversely affect our net income, comprehensive income, liquidity, and shareholders' equity.",liquidity risk,hedge,,
0000826675-23-000023,"Clearing facilities or exchanges may increase the margin requirements we are required to post when entering into derivative instruments, which may negatively impact our ability to hedge and our liquidity.",liquidity risk,hedge,,
0000826675-23-000023,"If a lender to us in a repurchase transaction defaults on its obligation to resell the underlying security back to us at the end of the transaction term, or if we default on our obligations under a repurchase agreement, we will incur losses.",credit risk,,,
0000826675-23-000023,"In the event of our bankruptcy or that of one or more of our third-party lenders, under the U.S. Bankruptcy Code, assets pledged as collateral under repurchase agreements may not be recoverable by us. We may incur losses equal to the excess of the collateral pledged over the amount of the associated repurchase agreement borrowing.",credit risk,,,
0000826675-23-000023,RISKS RELATED TO OUR QUALIFICATION AS A REIT AND TAX RELATED OR OTHER REGULATORY MATTERS,tax risk,broker's credit,,
0000826675-23-000023,"If we fail to properly conduct our operations, we may not qualify for exemption under the 1940 Act, which may reduce our flexibility and limit our ability to pursue certain opportunities.",legal and regulatory risk,1940 act,,
0000826675-23-000023,"In order to maintain REIT distribution requirements, we may be forced to increase our dividend distributions which could cause us to liquidate attractive assets or incur debt on unfavorable terms. If we are unable to generate the required cash for a cash dividend distribution, we may be forced to declare a dividend that is payable, at least in part, in the form of common stock, in which case shareholders may be required to pay income taxes in excess of the cash dividends received.",tax risk,REIT distribution,,
0000826675-23-000023,"We have not established a minimum dividend payment level and we may not have the ability to pay dividends in the future. Furthermore, our monthly dividend strategy could attract shareholders that are especially sensitive to the level and frequency of the dividend. If we were to reduce the dividend or change back to a quarterly payment cycle, our share price could materially decline.",liquidity risk,dividened payment,,
0000826675-23-000023,"Qualifying as a REIT involves highly technical and complex provisions of the Tax Code, and a technical or inadvertent violation could jeopardize our REIT qualification. Maintaining our REIT status may reduce our flexibility to manage our operations.",tax risk,REIT qualification,,
0000826675-23-000023,"If we do not qualify as a REIT or fail to remain qualified as a REIT, we may be subject to tax as a regular corporation and could face a tax liability, which would reduce the amount of cash available for distribution to our shareholders. We would also violate debt covenants in certain repurchase and derivative agreements which may put us in default on these agreements.",tax risk,REIT qualification,,
0000826675-23-000023,Dividends payable by REITs do not qualify for the reduced tax rates available for some dividends.,tax risk,REIT,,
0000826675-23-000023,Legislative or other actions affecting REITs could materially and adversely affect us and our shareholders.,legal and regulatory risk,legislative,,
0000826675-23-000023,Uncertainty exists with respect to the treatment of our TBAs for purposes of the REIT asset and income tests.,tax risk,,,
0000826675-23-000023,"For REIT qualification purposes, we treat repurchase agreement transactions as financing of the investments pledged as collateral. If the IRS disagrees with this treatment, our ability to qualify as a REIT could be adversely affected.",tax risk,REIT qualification,,
0000826675-23-000023,"Even if we remain qualified as a REIT, we may face other tax liabilities that reduce our cash flow and our profitability.",tax risk,tax liability,Liquidity risk,cash flow
0000826675-23-000023,Recognition of excess inclusion income by us could have adverse consequences to us or our shareholders.,tax risk,deferred tax,,
0000826675-23-000023,"The stock ownership limit imposed by the Tax Code for REITs and our Restated Articles of Incorporation (""Articles of Incorporation"") may restrict our business combination opportunities. The stock ownership limitation may also result in reduced liquidity of our stock and may result in losses to an acquiring shareholder.",tax risk,REIT,Legal and regulatory risk,Articles of Incorporation
0000826675-23-000023,The stock ownership limit imposed by the Tax Code for REITs and our Articles of Incorporation may impair the ability of holders to convert shares of our outstanding preferred stock into shares of our common stock upon a change of control.,tax risk,REIT,Legal and regulatory risk,Articles of Incorporation
0000826675-23-000023,"If we fail to abide by certain Commodity Futures Trading Commission (""CFTC"") rules and regulations, we may be subject to enforcement action by the CFTC.",legal and regulatory risk,CFTC,,
0000826675-23-000023,OTHER RISK FACTORS RELATED TO OUR BUSINESS,other risk,,,
0000826675-23-000023,"We rely on a third-party service provider for critical operational and trade functions and on other third parties for information and communication systems, and problems in the use, access, or performance of these systems, including as a result of any cybersecurity incident, could increase our costs and significantly disrupt our ability to operate our business, which may have a significant adverse impact on our financial condition and results of operations.",operational risk,information system,,
0000826675-23-000023,"Impacts from COVID-19 may continue to adversely affect market conditions. Furthermore, we cannot predict the effect that government policies, laws, and plans adopted in response to the COVID-19 outbreak or other future outbreaks involving highly infectious or contagious diseases and resulting recessionary economic conditions will have on us.",operational risk,catastrophe,Legal and regulatory risk,laws changes
0000826675-23-000023,"The replacement of LIBOR with an alternative reference rate may adversely impact short-term interest rates in general, and thereby potentially cause our financing costs to increase.",market risk,interest rate fluctuation,,
0000826675-23-000023,"We may change our investment strategy, operating policies, dividend policy, and/or asset allocations without shareholder consent and/or in a manner in which shareholders, analysts, and capital markets may not agree with us.",operational risk,internal control,Strategy risk,
0000826675-23-000023,"Share repurchases of our common stock or Series C Preferred Stock may negatively impact our compliance with covenants in our financing agreements and regulatory requirements (including maintaining exclusions from the requirements of the 1940 Act and qualification as a REIT). Any compliance failures associated with share repurchases could have a material negative effect on our business, financial condition and results of operations. Share repurchases also may negatively impact our ability to invest in our target assets in the future.",legal and regulatory risk,regulation restriction,,
0000866368-23-000007,Risks Related to Our Business,business risk,,,
0000866368-23-000007,We have significant exposure to real estate risk.,business risk,specific business,,
0000866368-23-000007,We are subject to risks from the COVID-19 pandemic and we may in the future be subject to risks from other public health crises.,operational risk,catastrophe,,
0000866368-23-000007,"Economic conditions can adversely affect our business, financial condition, growth, and access to capital. ",market risk,economic,,
0000866368-23-000007,We are subject to laws and governmental regulations and actions that affect our operating results and financial condition. ,legal and regulatory risk,regulation restriction,,
0000866368-23-000007,"We rely on technology in our operations and failures, inadequacies or interruptions to our service could harm our business.",operational risk,technology,,
0000866368-23-000007,"If our confidential information is compromised or corrupted, including as a result of a cybersecurity breach, our reputation and business relationships could be damaged, which could adversely affect our financial condition and operating results.",operational risk,information system,,
0000866368-23-000007,"Risks Related to Our Ownership, Organization and Structure ",operational risk,,,
0000866368-23-000007,We would incur adverse tax consequences if we cease to qualify as a REIT and we would have to pay substantial U.S. federal corporate income taxes.,tax risk,REIT qualification,,
0000866368-23-000007,"Even if we qualify as a REIT, we may face other tax liabilities that reduce our cash flow.",tax risk,tax liability,,
0000866368-23-000007,We may need to borrow funds to meet our REIT distribution requirements.,tax risk,REIT distribution,,
0000866368-23-000007,Changes in tax laws could negatively impact us.,legal and regulatory risk,tax laws changes,,
0000866368-23-000007,We depend on external sources of capital to grow our Company.,liquidity risk,capital availability,,
0000866368-23-000007,Risks Related to Our Preferred Stock,market risk,,,
0000866368-23-000007,"Holders of depositary shares, each representing 1/1,000 of a share of our outstanding preferred stock, have dividend, liquidation and other rights that are senior to the rights of the holders of shares of our common stock.",market risk,dividened payment,,
0000866368-23-000007,Preferred Stockholders are subject to certain risks.,market risk,preferred stockholders,,
0000866368-23-000007,"Following the completion of the Tender Offer (as defined below), the Company delisted the Preferred Securities. As a result, preferred stockholders will not have the same protections afforded to stockholders of companies that are subject to NYSE requirements.",market risk,tender offer,,
0000866368-23-000007,"We have delisted the Preferred Stock from the NYSE and deregistered the Preferred Stock under the Exchange Act, which could negatively affect the liquidity and trading prices of our Preferred Stock and will result in less disclosure about the Company.",market risk,preferred stocks,,
0000866368-23-000007,Risks Related to Our Indebtedness,credit risk,,,
0000866368-23-000007,Our significant amount of debt may subject us to increased risk of loss and could adversely affect our results of operations and financial condition.,credit risk,debt,,
0000866368-23-000007,"Our secured debt agreements governing the Mortgage Loans impose, and additional lending facilities may impose, restrictive covenants, which may restrict our flexibility to determine our operating policies and investment strategy.",operational risk,debt covenants,,
0000866368-23-000007,Risks Related to Our Organization and Structure ,operational risk,,,
0000866368-23-000007,We are controlled by Blackstone and its interests may conflict with ours or yours in the future.,operational risk,management procedure,,
0000866368-23-000007,Risks Related to Conflicts of Interest,other risk,,,
0000866368-23-000007,"Various potential and actual conflicts of interest will arise, and these conflicts may not be identified or resolved in a manner favorable to us.",other risk,interest conflict,,
0000866368-23-000007,"We depend on Link and its personnel for our success. We may not find a suitable replacement for Link if our Master Services Agreement is terminated, or if key personnel cease to be employed by Link or Blackstone otherwise become unavailable to us.",operational risk,personnel resource,,
